reg_rate_l2,accuracy
0.001249699019784275,0.4416
0.0018930979176652275,0.4406
0.013641275218461705,0.4415
1.4579229339588163e-05,0.4397
3.416184876256938e-05,0.4438
0.00017877651115697388,0.4421
0.002276193495625749,0.4404
0.037997228900292994,0.4369
0.0003873005704071815,0.4418
0.0008154567527397186,0.441
0.07321088977258612,0.425
0.00936450480191075,0.4393
1.231177221706354e-05,0.4414
0.010860578511262894,0.4366
0.08419496219234288,0.4201
2.520043258457715e-05,0.4418
0.016837189697808886,0.4381
0.08634563799925256,0.4209
0.010288522175677916,0.4355
0.003739027200550249,0.4391
0.0017816632862932386,0.4393
0.0033106008073356956,0.4419
8.766133360160278e-05,0.4402
0.046618997518614834,0.4351
8.316408329894468e-05,0.4401
0.0042103076658888215,0.4383
0.06016616756460652,0.429
0.09610957498732871,0.416
9.784180596036919e-05,0.4407
0.0001570843839361997,0.443
0.006265546424637455,0.4421
0.029007486987524943,0.4356
0.00493412000185727,0.4383
0.0007608811840599583,0.4383
2.1065559501172368e-05,0.4406
0.03250220158166723,0.4344
0.0015138336742949697,0.4411
2.623145388182055e-05,0.4412
0.037023090750037804,0.4361
2.0715967483446165e-05,0.4405
0.006314827958527021,0.4422
0.0015760923431028554,0.4406
0.007107335707746104,0.4424
0.09987881526785489,0.4153
0.003389701489301756,0.442
0.0014954682737369207,0.4421
0.03400411682958316,0.4369
0.0002026201590770768,0.4389
0.0406319942814561,0.4333
0.08978996631904668,0.4175
0.004436985959894243,0.4402
0.03676245720732227,0.4378
3.310146347103938e-05,0.4384
3.9279388960023635e-05,0.4426
0.011581537698243325,0.4417
0.07413525861385016,0.4218
0.0009152865765355583,0.4411
0.007649753914949403,0.4394
0.0012775774769717058,0.4383
0.02427921369539635,0.4385
8.219804878222206e-05,0.4396
0.0013753273371221665,0.4382
1.7191551722913834e-05,0.44
0.06327482939747388,0.4279
5.85016615173434e-05,0.4405
2.1265518971912506e-05,0.4413
0.0015667582552587062,0.4413
0.00019366259204969875,0.4398
2.4011812208599386e-05,0.4387
1.4063857770079777e-05,0.4397
0.002543139475180192,0.4401
0.0012466903776499091,0.4421
0.02390948868588792,0.438
7.114429257279219e-05,0.4396
0.0012300307715646635,0.4428
0.002096890845148453,0.4393
3.114501324674091e-05,0.4367
0.001500603996209435,0.4388
0.02024684142213556,0.4405
0.0016253314774908286,0.4388
1.2344986980506622e-05,0.4414
0.0006600589387489239,0.4403
2.1876064958939722e-05,0.4413
0.00023583425900390367,0.4399
9.425490801152401e-05,0.4384
0.016100800627454847,0.4379
0.00032167627469201985,0.441
0.0014377076081724918,0.4416
0.048186225763896216,0.433
0.0010171105992222286,0.4394
0.006328042104747517,0.4409
0.00023558903542787965,0.4399
0.004601588385438967,0.4387
3.0073749922886276e-05,0.4378
9.067839460665779e-05,0.4385
0.001161432109798883,0.4392
3.155298338538703e-05,0.4367
0.00021979571118110438,0.4382
0.00012120313386451526,0.443
0.007169044920592088,0.4391
