n_layers,if_bn,sigma,test_accuracy
3,False,0.1,0.1
3,False,0.001,0.2
3,False,0.0001,0.2
3,True,0.1,0.1
3,True,0.001,0.1
3,True,0.0001,0.2
9,False,0.1,0.3
9,False,0.001,0.3
9,False,0.0001,0.3
9,True,0.1,0.3
9,True,0.001,0.3
9,True,0.0001,0.3
