reg_rate_l2,n_epochs,batch_size,lr_initial,loss_train,accuracy_train,loss_val,accuracy_val,loss_test,accuracy_test
0.0,40,100,0.1,3.853903793351086,0.4507,6.407417946075325,0.2968,6.189541014554081,0.3045
0.0,40,100,0.001,1.6087756394896415,0.4567,1.7907032109798573,0.3897,1.7611904775959264,0.3915
0.1,40,100,0.001,1.7284861504717226,0.4518,1.8888351153692478,0.3889,1.8598319798021052,0.3932
1.0,40,100,0.001,1.8338829901802582,0.4184,1.9151076960264104,0.3777,1.8944570620640508,0.3853
