reg_rate_l2,n_epochs,batch_size,lr_initial,loss_train,accuracy_train,loss_val,accuracy_val,loss_test,accuracy_test
0.1,40,100,0.01,1.7690772814844509,0.408265306122449,1.7993608112511164,0.411,1.8022034192042087,0.391
0.1,40,100,0.001,1.7358193022201838,0.43220408163265306,1.7660933629225015,0.414,1.771490175795136,0.4147
1.0,40,100,0.01,1.955049698230774,0.3430408163265306,1.9352411021546787,0.361,1.9533722894274643,0.3475
1.0,40,100,0.001,1.8648863389201775,0.39640816326530615,1.8567176704371777,0.403,1.8708433194237322,0.3873
