reg_rate_l2,n_epochs,batch_size,lr_initial,loss_train,accuracy_train,loss_val,accuracy_val,loss_test,accuracy_test
0.5,60,100,0.0001,4.367452217863761,0.4207142857142857,4.589336295497603,0.401,4.637615920865784,0.3998
0.5,60,100,0.0001,4.37017855728758,0.41716326530612247,4.608303665364934,0.404,4.6425031800269245,0.398
0.8,60,100,0.0001,4.380955491706526,0.4165510204081633,4.5319477597600955,0.414,4.616633710483114,0.3981
0.8,60,100,0.0001,4.378622361663602,0.4159387755102041,4.570979389582237,0.408,4.601384412593501,0.3991
